Varibale_1,Varibale_2,Varibale_3,Label
0.061843839,-2.740588357,-1.536326425,0
-0.742053574,-0.713182286,-0.836837341,0
-0.754428982,-0.694841212,-0.76946427,0
-0.804949661,-0.770471569,-0.89646475,0
-0.801653252,-0.215792164,-1.055188236,0
-1.134001104,-0.533110876,0.696031558,0
1.125983754,-0.228390413,1.128667896,1
1.450679156,-0.031236996,-0.293240991,1
-0.735523031,0.027378494,-0.785167562,0
0.003577102,-1.638216154,-2.230077082,0
-0.57999628,-1.189654445,0.087508896,0
-0.049082078,-1.737314766,-2.283522312,0
-0.110172932,-1.758177071,-2.16918908,0
-0.114519096,-1.768550013,-2.175427168,0
-0.67305405,-1.14343014,0.401119207,0
-0.733275045,-0.590033163,-1.799471682,0
-0.629829305,-0.619438235,-2.054084919,0
-0.873626371,0.434191402,-0.68613739,0
